Euring	Sortering	Artnavn	Latin	English	Status	Type
2470	4120	Ådselgrib	Neophron percnopterus	Egyptian Vulture	AU	art
2530	4130	Rüppells Grib	Gyps rueppelli	Rüppell's Vulture	E	art
2510	4150	Gåsegrib	Gyps fulvus	Griffon Vulture	AU	art
2550	4160	Munkegrib	Aegypius monachus	Cinereous Vulture	U	art
2560	4175	Slangeørn	Circaetus gallicus	Short-toed Snake Eagle	AU	art
2920	4180	Lille Skrigeørn	Clanga pomarina	Lesser Spotted Eagle	AS	art
2930	4190	Stor Skrigeørn	Clanga clanga	Greater Spotted Eagle	AU	art
2945	4210	Steppeørn	Aquila nipalensis	Steppe Eagle	AU	art
2950	4220	Kejserørn	Aquila heliaca	Eastern Imperial Eagle	AU	art
2960	4230	Kongeørn	Aquila chrysaetos	Golden Eagle	AS	art
2990	4240	Høgeørn	Aquila fasciata	Bonelli's Eagle	AU	art
2980	4260	Dværgørn	Hieraaetus pennatus	Booted Eagle	AU	art
2600	4270	Rørhøg	Circus aeruginosus	Western Marsh Harrier	A	art
2610	4280	Blå Kærhøg	Circus cyaneus	Hen Harrier	A	art
2615	4285	Amerikansk Kærhøg	Circus hudsonius	Northern Harrier	U	art
2620	4290	Steppehøg	Circus macrourus	Pallid Harrier	AS	art
2630	4320	Hedehøg	Circus pygargus	Montagu's Harrier	A	art
2690	4340	Spurvehøg	Accipiter nisus	Eurasian Sparrowhawk	A	art
2670	4350	Duehøg	Accipiter gentilis	Northern Goshawk	A	art
2430	4380	Havørn	Haliaeetus albicilla	White-tailed Eagle	A	art
2440	4385	Hvidhovedet Havørn	Haliaeetus leucocephalus	Bald Eagle	U	art
2450	4390	Beringshavørn	Haliaeetus pelagicus	Steller's Sea Eagle	EU	art
2390	4400	Rød Glente	Milvus milvus	Red Kite	A	art
2380	4410	Sort Glente	Milvus migrans	Black Kite	AS	art
2382	4415	Gulnæbbet Glente	Milvus aegyptius	Yellow-billed Kite	DU	art
